user_id,Q1,Q2,Total Traffic(MB),Downlink Throughput(Kbps),Uplink Throughput(Kbps),Downlink TCP Retransmission Rate(%),Video Streaming Download Throughput(Kbps),Video Streaming xKB Start Delay(ms),Web Page Download Throughput(Kbps),Web Average TCP RTT(ms)
1,5,,775.48846,360.13,86.56,3.93,1859.15,2309,1007.82,83
2,5,4,861.96324,3023.54,411.18,1.27,667.47,2080,255.36,425
3,1,4,261.1186,790.96,34.2,1.79,1079.6,6367,535.85,485
4,8,3,179.18564,2590.97,325.88,0.8,7053.81,3218,1221.02,51
5,2,"2, 3, 4",351.99208,731.61,223.54,1.15,4550.38,1767,2336.56,68
6,3,,416.67461,1346.89,175.53,1.08,4553.01,2136,1587.58,551
7,2,"4, 5",448.88413,438.27,81.32,1.98,1699.64,4223,856.05,220
8,9,,550.44581,3428.69,164.44,1.05,16753.96,1061,3037.36,88
9,1,"1, 3, 4",783.64464,1786.99,271.77,0.84,6802.42,1200,1837.02,132
10,3,"1, 3, 4, 5",455.97369,610.43,81.86,4.1,1317.76,3350,1054.15,165
11,3,"1, 3",526.08652,535.54,208.67,1.46,2621.14,1479,2376.5,88
12,1,,730.53759,4020.94,569.49,1.57,8747.53,1556,1347.73,77
13,1,,828.47641,2171.11,46.16,8.49,2483.79,2504,1923.6,112
14,10,,228.44956,3004.18,138.2,5.26,9844.23,1280,1662.54,114
15,8,"3, 4",485.87565,1700.86,155.76,1.01,2438.2,4512,2612.73,104
16,10,,767.54725,1729.37,107.94,1.96,2490.93,1660,2514.08,92
17,3,,401.82326,151.41,34.7,2.55,675.88,6550,341.83,827
18,1,,625.42349,1175.91,16.91,1.64,1367.23,2014,307.24,189
19,7,3,811.55618,460.32,65.2,1.5,1583.27,1340,1587.16,57
20,3,"1, 2",256.01052,2195.75,66.85,1.27,8878.63,1678,2358.38,94
21,9,,218.73984,8115.33,108.34,2.37,13224.96,704,5583.33,52
22,10,,601.06519,2135.92,120.55,1.73,7215.26,1649,1014.48,231
23,8,,702.68695,7216.9,212.73,0.51,9774.81,787,3161.5,113
24,7,"3, 5",844.863,1167.36,30.56,0.48,1560.77,4949,471.73,147
25,3,1,172.401,5474.84,272.1,0.36,23392.06,757,2109.31,60
26,10,,360.59845,3743.08,250.93,0.98,5943.66,2029,2714.29,61
27,4,,343.12782,293.92,38.85,7.4,1136.43,3258,532.2,357
28,10,,373.37642,865.79,82.03,2.62,1913.33,2638,1743.42,122
29,10,,232.99499,535.05,71.64,1.07,1332.35,3548,3421.72,110
30,9,,122.60692,594.24,69.27,7.9,1564.11,1330,1937.48,40
31,1,7,171.83432,4675.78,474.61,1.19,6174.67,874,2133.88,29
32,11,,375.23606,5980.48,119.63,0.48,8723.1,1030,6645.56,59
33,10,,147.20392,871.74,68.99,3.37,4747.24,2215,5366.71,79
34,9,,299.76663,2952.75,306.74,0.72,10355.96,1104,2984.9,53
35,4,"1, 4",624.87826,9629.02,308.28,14.8,10669.25,2682,759.33,267
36,4,"1, 3",168.30615,205.13,85.36,0.73,17208.51,932,3196.87,91
37,3,,375.34823,948.02,148.29,1.71,5726.17,864,1338.07,161
38,10,,103.86321,176.58,68.74,0.92,973.55,1250,1500.26,84
39,1,,260.49018,2108.8,163.22,0.95,2764.1,849,2393.67,237
40,2,7,518.93045,256.96,44.95,1.7,632.07,2664,328.35,877
41,3,"1, 2, 3, 4, 5",707.36385,996.38,149.29,19.17,1077.34,3604,653.44,266
42,10,,240.31367,2212.15,414.52,0.59,10205.25,1094,2407.01,72
43,1,"1, 4",159.86636,266.84,60.54,2.22,984.11,4984,923.97,158
44,10,,113.4588,1563.78,120.45,1.24,8607.03,1143,2040.55,66
45,10,,513.10897,9252.9,113.78,0.38,13186.38,1071,5951.91,54
46,9,,689.97218,2807.4,61.79,0.42,6437.73,1294,2457.34,60
47,3,,189.79118,308.77,55,2.49,1098.1,2357,499.65,412
48,9,,356.80265,2371.65,149.91,0.29,5807.64,1163,1792.86,55
49,10,,754.25787,838.45,641.03,2.4,4484.22,1348,594.98,527
50,2,3,453.12793,3325.86,167.74,0.59,11702.86,1212,2455.82,40
51,8,,380.04609,3067.47,92.17,0.68,4327.61,1921,2035.55,101
52,4,,656.58089,816.36,146.45,1.8,3891.66,1184,1487.13,107
53,6,"2, 3",168.11047,2031.2,164.31,0.71,5234.92,1838,1665.56,95
54,10,,551.75243,4092.25,250.26,0.6,13052.24,1128,1624.41,149
55,10,,174.99893,1210.11,80.94,1.1,7502.89,1399,808.9,94
56,7,"1, 4",316.85435,208.64,38.83,3.36,631.31,6492,524.9,613
57,7,7,384.66811,415.38,119.69,1.99,2863.04,1349,1131.3,290
58,6,"1, 2, 3, 4",358.35124,1626.41,297.8,5.38,6519.35,1460,1066.52,257
59,10,,538.80293,791.23,158.95,0.66,5158.03,1066,202.57,91
60,10,,277.03248,1135.96,41.8,2.3,5910.09,1227,2209.34,79
61,7,"1, 3, 4, 5",163.46258,2117.83,132.56,2.21,20236.29,648,2434.04,63
62,1,,413.2251,659.55,34.7,2.4,1742.95,2190,1832.14,218
63,6,3,254.33322,1992.86,307.48,2.7,4872.09,1496,3342.53,50
64,5,,347.71301,667.61,24.36,3.22,894.42,3803,608.59,807
65,2,,241.65412,976.55,156.62,1.62,6017.85,1917,1511.71,205
66,8,,323.08885,1239.45,67.47,2.03,2724.09,2927,3578.03,68
67,3,"4, 5",204.46809,1109.97,100.5,0.79,5360.84,1402,1671.27,136
68,10,,667.94216,2002.11,739.01,1.03,3575.88,2420,2720.44,211
69,3,1,106.91202,613.8,207.77,1.37,2663.73,3613,505.22,238
70,2,"4, 5",283.66389,257.67,44.4,1.25,642.26,3077,485.5,616
71,1,,538.43804,810.01,277,7.03,987.04,4955,426.65,193
72,8,4,506.38998,1146.53,233.54,0.65,2812.57,5116,3480.5,116
73,3,,496.97034,4084.53,89.35,1.82,7042.73,1369,1518.88,49
74,1,"1, 3, 4, 5",748.66653,9393.75,145.74,5.01,10312.78,1536,1738.21,80
75,10,,736.40016,1666.43,107.39,2.29,4465.51,1677,2574.8,172
76,3,4,513.78969,2169.93,272.68,0.79,5224.26,6055,1047.81,361
77,3,3,223.01968,1702.71,322.83,0.74,4619.35,1989,1994.02,71
78,10,,627.04135,324.95,31.81,3.33,2826.04,2164,844.7,415
